"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptgs1",0.54641275380729,0.384962313844072,0.034,0.03,1
"Taf3",0.546683364704786,0.137203172349198,0.074,0.067,1
"Tab1",0.546733304973976,0.2541371320907,0.031,0.027,1
"Mtf2",0.546837088081563,-0.159358202379738,0.188,0.196,1
"Mtbp",0.546910207582062,0.142221247115822,0.083,0.077,1
"Etfbkmt",0.547052538368811,-0.132885991018547,0.081,0.088,1
"Tbc1d31",0.547257479138193,0.290325439705997,0.051,0.046,1
"Ints8",0.547623456445562,-0.105780760855949,0.179,0.187,1
"Cstf2",0.54767481432427,-0.132885991018547,0.123,0.131,1
"Zfp51",0.548384655361685,0.157333244141477,0.132,0.124,1
"Zfp346",0.548621799644188,0.110156939627781,0.078,0.071,1
"Zfp212",0.548762333942569,0.104805566700783,0.145,0.137,1
"Harbi1",0.548904274021371,0.217611256065586,0.031,0.027,1
"Tamalin",0.549018339475877,-0.21534815121052,0.047,0.052,1
"Rapgef5",0.549041375972143,0.367187612116096,0.027,0.024,1
"Hmg20a",0.549264124800489,0.151417031568898,0.183,0.174,1
"Eef2kmt",0.550023032151654,0.165195361914448,0.045,0.04,1
"Camta1",0.550483755271912,0.119501170615738,0.052,0.047,1
"Rnaseh2c",0.550582910398469,0.102841068819512,0.136,0.128,1
"Tmco3",0.550759841375469,0.177454129593604,0.058,0.052,1
"Tmem218",0.551079394551292,0.181987346334864,0.031,0.027,1
"Anapc5",0.551224460882974,-0.142104521047925,0.096,0.103,1
"Dnajc19",0.551667377683219,-0.148827534887568,0.056,0.062,1
"Vps72",0.551708479235206,0.196819454460535,0.133,0.126,1
"Utp18",0.551754110089306,0.162569892507625,0.112,0.105,1
"Zbtb14",0.552577037369735,0.175745281255358,0.079,0.073,1
"Fam91a1",0.552849915354207,-0.114841815548785,0.257,0.265,1
"Fbxo30",0.55288669182937,-0.197981019240431,0.059,0.065,1
"Pdp2",0.552934110375437,-0.156344963842535,0.056,0.062,1
"Gpsm2",0.552977713230278,0.18325975127481,0.074,0.067,1
"Apobec1",0.552984243495806,-0.153644551185344,0.04,0.045,1
"Zfp870",0.553326749457926,0.11327459625085,0.031,0.027,1
"Mus81",0.553605130648827,-0.132885991018546,0.049,0.055,1
"Ndc1",0.553728962543869,-0.132885991018547,0.049,0.055,1
"Selenof",0.553781591582629,-0.10212373724786,0.147,0.156,1
"Acot13",0.554086229064648,0.220750963596154,0.115,0.108,1
"Glmn",0.554236759740736,0.109970532877617,0.065,0.059,1
"Fez2",0.554401344826774,0.217056480038412,0.112,0.105,1
"E2f8",0.555014671665962,-0.340481410426915,0.048,0.053,1
"Erich1",0.555201483526409,-0.105918943418277,0.063,0.069,1
"Ap3s2",0.55535146967228,-0.126785791482129,0.075,0.081,1
"Alkbh1",0.555570222002815,0.114575610894786,0.113,0.105,1
"Aatf",0.555621170371286,-0.174305918398528,0.097,0.104,1
"Plekhg5",0.555801776558503,0.452076509702609,0.012,0.009,1
"Prkrip1",0.556013661976984,0.154395961061924,0.088,0.082,1
"Slc8b1",0.556113493563506,0.195736756442824,0.064,0.058,1
"AI987944",0.556485188787609,0.211068410198815,0.041,0.037,1
"Mtln",0.556488532000968,-0.266741737753338,0.045,0.05,1
"Ndufb3",0.556643905262327,0.222594663579842,0.027,0.024,1
"Yes1",0.556772850529337,-0.23758336968524,0.027,0.032,1
"Pank4",0.556907967427979,-0.106654449445367,0.07,0.076,1
"Lrr1",0.557279670868133,0.345161305786098,0.012,0.009,1
"Pef1",0.557362179535618,0.155301892043585,0.144,0.137,1
"Dclre1a",0.560083041817397,0.300073416257558,0.024,0.02,1
"Tbc1d22b",0.560360874993533,0.113452125942934,0.159,0.151,1
"Timm9",0.561318321750293,-0.12342566176948,0.047,0.052,1
"Kif11",0.561361435162746,0.282151508260297,0.127,0.12,1
"Zfp422",0.561474571037001,-0.191779680072115,0.045,0.05,1
"Dzip3",0.561496494733559,-0.248363208438483,0.036,0.041,1
"Strbp",0.561527346315861,0.124190959518848,0.129,0.121,1
"Zfp983",0.561743367759177,0.178511436376646,0.081,0.075,1
