"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gnas",0.04719170493852,-0.122327850224183,0.744,0.751,1
"Zfp605",0.0472000233338342,0.832181937267727,0.026,0.013,1
"Pgs1",0.0472532958921236,-0.319127386007238,0.122,0.156,1
"Pwwp2b",0.0472573798297515,-0.39761843380299,0.085,0.114,1
"Klrk1",0.0473897318176833,-1.09256038712964,0.03,0.049,1
"Rdh12",0.0474575261219934,-0.732959122540685,0.023,0.041,1
"Mark2",0.0475003289024151,0.237172773098491,0.355,0.31,1
"Arap1",0.0475029855834875,0.215313339134752,0.246,0.206,1
"Ccdc115",0.0475605453973154,0.516680111539797,0.072,0.049,1
"Smad7",0.0476038786556826,-0.136495037389226,0.758,0.775,1
"Lamb3",0.0476667810582061,1.1276378207939,0.019,0.008,1
"Atp2b4",0.0476799908996805,0.200962112507307,0.422,0.371,1
"Fbxl4",0.0477004727506826,0.542675320072743,0.051,0.032,1
"Znrd2",0.047742059104736,-0.671449485280106,0.032,0.051,1
"Gldc",0.0479267852979119,-1.01371802845164,0.021,0.037,1
"Dld",0.0479268186621675,-0.245820574733546,0.301,0.343,1
"Mpi",0.0479684640924194,-0.829293457314216,0.022,0.039,1
"Slfn9",0.0480734982268151,1.08324370143545,0.021,0.009,1
"Zbtb3",0.0480734982268151,1.08324370143545,0.021,0.009,1
"Rgl1",0.0480958969219147,1.04517566060192,0.022,0.01,1
"Mtrf1",0.0480958969219147,1.04517566060192,0.022,0.01,1
"Kansl1",0.0481312432061563,-0.123304478385229,0.525,0.572,1
"Sfr1",0.0481956779851563,-0.195769203019377,0.513,0.541,1
"Mbtps2",0.0483126209291473,0.433446250317984,0.113,0.085,1
"Poglut1",0.048418522567706,-0.41509644453796,0.065,0.091,1
"Psmf1",0.0484212114951473,-0.345816364710267,0.154,0.189,1
"Rab7",0.0484417965228003,0.196378321684182,0.369,0.325,1
"Wrap53",0.0484717326455559,0.410571784065397,0.095,0.069,1
"Adss1",0.0487693857690396,-0.174779450256021,0.404,0.449,1
"Hsdl2",0.0488575551000642,-0.313733826298408,0.114,0.147,1
"Sdhaf1",0.0490801031941867,-0.292470668032367,0.234,0.273,1
"Tle5",0.0493794435233639,0.160205683250329,0.532,0.487,1
"Zfp280b",0.0494884197565095,-0.378469259216018,0.055,0.079,1
"Epm2aip1",0.0495499788560192,-0.390897318188282,0.111,0.144,1
"Ctss",0.0495604293755859,0.165555438753193,0.726,0.709,1
"Acox1",0.0495754994445261,-0.499144855621885,0.063,0.089,1
